Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 9, 2023"
Statement,Data,WhenGenerated,"2023-06-11, 16:05:53 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,3433.486082662,3627.065160875,0,3627.065160875,193.579078212
Net Asset Value,Data,Stock,328030,322389,0,322389,-5641
Net Asset Value,Data,Options,-56954.84,5203.19,-56410.44,-51207.25,5747.59
Net Asset Value,Data,Dividend Accruals,275,275,0,275,0
Net Asset Value,Data,Total,274783.646082662,331494.255160875,-56410.44,275083.815160875,300.169078212
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.109238334%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,274783.646082662
Change in NAV,Data,Mark-to-Market,304.59000396
Change in NAV,Data,Commissions,-4.42092575
Change in NAV,Data,Ending Value,275083.815160875
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,C,0,0,0,0,0,0,232.629743,0,0,0,232.629743,232.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,CMA,0,0,0,0,0,0,14.629743,0,0,0,14.629743,14.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,CVE,0,0,0,0,0,0,0,-278.940514,0,0,-278.940514,-278.940514,
Realized & Unrealized Performance Summary,Data,Stocks,DKS,0,0,0,0,0,0,198.629743,-1351.370257,0,0,-1152.740514,-1152.740514,CP
Realized & Unrealized Performance Summary,Data,Stocks,EBAY,0,0,0,0,0,0,151.629743,0,0,0,151.629743,151.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,EQT,0,0,0,0,0,0,549.629743,0,0,0,549.629743,549.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,FDX,0,3873.744617,0,0,0,3873.744617,0,0,0,0,0,3873.744617,
Realized & Unrealized Performance Summary,Data,Stocks,HAS,0,0,0,0,0,0,0,-486.370257,0,0,-486.370257,-486.370257,
Realized & Unrealized Performance Summary,Data,Stocks,HP,0,0,0,0,0,0,0,-2561.840514,0,0,-2561.840514,-2561.840514,
Realized & Unrealized Performance Summary,Data,Stocks,HPQ,0,0,0,0,0,0,0,0,0,-1955.840514,-1955.840514,-1955.840514,
Realized & Unrealized Performance Summary,Data,Stocks,JWN,0,0,0,0,0,0,713.159486,0,0,0,713.159486,713.159486,CP
Realized & Unrealized Performance Summary,Data,Stocks,M,0,0,0,0,0,0,0,-27.840514,0,0,-27.840514,-27.840514,CP
Realized & Unrealized Performance Summary,Data,Stocks,MSFT,0,0,0,0,0,0,13657.259486,0,0,0,13657.259486,13657.259486,CP
Realized & Unrealized Performance Summary,Data,Stocks,NKE,0,0,0,0,0,0,0,-325.370257,0,0,-325.370257,-325.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,NUE,0,0,0,0,0,0,0,0,4448.749743,0,4448.749743,4448.749743,
Realized & Unrealized Performance Summary,Data,Stocks,NXPI,0,0,0,0,0,0,997.629743,0,0,0,997.629743,997.629743,
Realized & Unrealized Performance Summary,Data,Stocks,PARA,0,0,0,0,0,0,0,0,0,-3556.840514,-3556.840514,-3556.840514,
Realized & Unrealized Performance Summary,Data,Stocks,PHM,0,0,0,0,0,0,0,-3.370257,0,0,-3.370257,-3.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,QQQM,0,0,0,0,0,0,0,0,0,-1722.060257,-1722.060257,-1722.060257,
Realized & Unrealized Performance Summary,Data,Stocks,SCHW,0,0,0,0,0,0,0,-2737.370257,0,0,-2737.370257,-2737.370257,
Realized & Unrealized Performance Summary,Data,Stocks,STLD,0,0,0,0,0,0,0,-6018.740514,0,0,-6018.740514,-6018.740514,
Realized & Unrealized Performance Summary,Data,Stocks,STNG,0,0,0,0,0,0,0,-1777.370257,0,0,-1777.370257,-1777.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,STX,0,0,0,0,0,0,33.629743,0,0,0,33.629743,33.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,TD,0,0,0,0,0,0,0,-148.370257,0,0,-148.370257,-148.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,TGT,0,0,0,0,0,0,0,-3661.370257,0,0,-3661.370257,-3661.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,TSM,0,0,0,0,0,0,413.629743,0,0,0,413.629743,413.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,XLK,0,0,0,0,0,0,0,0,0,-269.170257,-269.170257,-269.170257,
Realized & Unrealized Performance Summary,Data,Stocks,XLY,0,0,0,0,0,0,0,0,0,-3640.170257,-3640.170257,-3640.170257,
Realized & Unrealized Performance Summary,Data,Total,,0,3873.744617,0,0,0,3873.744617,17460.716402,-20568.694369,4448.749743,-11144.081799,-9803.310023,-5929.565406,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 16JUN23 31 C,0,0,0,0,0,0,0,-128.47253,0,0,-128.47253,-128.47253,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 16JUN23 35 P,0,0,0,0,0,0,0,-163.47905,0,0,-163.47905,-163.47905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BOH 16JUN23 30 C,0,0,0,0,0,0,0,-366.171122,0,0,-366.171122,-366.171122,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BX 21JUL23 70 C,0,0,0,0,0,0,0,-13.486538,0,0,-13.486538,-13.486538,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,C 16JUN23 40 C,0,0,0,0,0,0,0,-147.637018,0,0,-147.637018,-147.637018,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CMA 21JUL23 35 C,0,0,0,0,0,0,0,-36.017522,0,0,-36.017522,-36.017522,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CVE 16JUN23 15 C,0,0,0,0,0,0,196.401588,0,0,0,196.401588,196.401588,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CVE 16JUN23 15 P,0,0,0,0,0,0,0,-132.24905,0,0,-132.24905,-132.24905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 16JUN23 110 C,0,0,0,0,0,0,248.365846,0,0,0,248.365846,248.365846,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 16JUN23 122 C,0,0,0,0,0,0,0,-989.65469,0,0,-989.65469,-989.65469,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 16JUN23 130 P,0,0,0,0,0,0,0,-790.29905,0,0,-790.29905,-790.29905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,EBAY 21JUL23 40 C,0,0,0,0,0,0,0,-134.775402,0,0,-134.775402,-134.775402,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,EQT 16JUN23 27 C,0,0,0,0,0,0,0,-490.136874,0,0,-490.136874,-490.136874,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HAS 21JUL23 50 C,0,0,0,0,0,0,0,-284.907914,0,0,-284.907914,-284.907914,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 16JUN23 32.5 C,0,0,0,0,0,0,0,-157.465692,0,0,-157.465692,-157.465692,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 16JUN23 35 P,0,0,0,0,0,0,0,-422.5981,0,0,-422.5981,-422.5981,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HPQ 16JUN23 27 C,0,0,0,0,0,0,124.511532,0,0,0,124.511532,124.511532,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HPQ 16JUN23 30 P,0,0,0,0,0,0,0,-89.9181,0,0,-89.9181,-89.9181,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,JWN 16JUN23 14.5 C,0,0,0,0,0,0,0,-623.188904,0,0,-623.188904,-623.188904,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,M 21JUL23 14 C,0,0,0,0,0,0,31.811184,0,0,0,31.811184,31.811184,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 205 C,0,0,0,0,0,0,0,-6071.0556,0,0,-6071.0556,-6071.0556,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 245 C,0,0,0,0,0,0,0,-4226.214874,0,0,-4226.214874,-4226.214874,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NKE 30JUN23 100 C,0,0,0,0,0,0,321.109454,0,0,0,321.109454,321.109454,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NUE 21JUL23 130 C,0,0,0,0,0,0,0,-996.257578,0,0,-996.257578,-996.257578,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NUE 21JUL23 135 P,0,0,0,0,0,0,0,-714.69905,0,0,-714.69905,-714.69905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NXPI 16JUN23 140 C,0,0,0,0,0,0,0,-677.00213,0,0,-677.00213,-677.00213,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 16JUN23 14 C,0,0,0,0,0,0,0,-284.304148,0,0,-284.304148,-284.304148,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 16JUN23 17.5 P,0,0,0,0,0,0,0,-130.8981,0,0,-130.8981,-130.8981,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PHM 21JUL23 65 C,0,0,0,0,0,0,0,-6.237658,0,0,-6.237658,-6.237658,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,QQQM 16JUN23 120 C,0,0,0,0,0,0,0,-1254.342242,0,0,-1254.342242,-1254.342242,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SCHW 16JUN23 47.5 C,0,0,0,0,0,0,0,-438.40405,0,0,-438.40405,-438.40405,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SCHW 16JUN23 57.5 P,0,0,0,0,0,0,0,-194.73905,0,0,-194.73905,-194.73905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 16JUN23 95 C,0,0,0,0,0,0,112.547828,0,0,0,112.547828,112.547828,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 16JUN23 100 P,0,0,0,0,0,0,0,-331.42905,0,0,-331.42905,-331.42905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 16JUN23 115 P,0,0,0,0,0,0,0,-235.22905,0,0,-235.22905,-235.22905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STNG 21JUL23 46 C,0,0,0,0,0,0,229.34495,0,0,0,229.34495,229.34495,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STNG 21JUL23 50 P,0,0,0,0,0,0,90.47095,0,0,0,90.47095,90.47095,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STX 21JUL23 55 C,0,0,0,0,0,0,0,-36.856474,0,0,-36.856474,-36.856474,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TD 21JUL23 50 C,0,0,0,0,0,0,208.889182,0,0,0,208.889182,208.889182,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TGT 21JUL23 130 C,0,0,0,0,0,0,178.794094,0,0,0,178.794094,178.794094,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TGT 21JUL23 140 P,0,0,0,0,0,0,690.71095,0,0,0,690.71095,690.71095,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TSM 07JUL23 90 C,0,0,0,0,0,0,0,-326.59937,0,0,-326.59937,-326.59937,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,XLK 21JUL23 139 C,0,0,0,0,0,0,30.836126,0,0,0,30.836126,30.836126,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,XLY 16JUN23 146 C,0,0,0,0,0,0,0,-923.296418,0,0,-923.296418,-923.296418,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,2463.793684,-21818.022398,0,0,-19354.228714,-19354.228714,
Realized & Unrealized Performance Summary,Data,Forex,CAD,0,0,0,0,0,0,0.000027,0,0,0,0.000027,0.000027,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,0.000027,0,0,0,0.000027,0.000027,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,3873.744617,0,0,0,3873.744617,19924.510113,-42386.716767,4448.749743,-11144.081799,-29157.53871,-25283.794093,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,ACI,ALBERTSONS COS INC - CLASS A,0,1244.1984935,0,-3075.7420205,0,0
Month & Year to Date Performance Summary,Data,Stocks,AEM,AGNICO EAGLE MINES LTD,0,-1199.1061,0,71.463001,0,0
Month & Year to Date Performance Summary,Data,Stocks,ALL,ALLSTATE CORP,0,-975.30075,0,0,0,-391.122176
Month & Year to Date Performance Summary,Data,Stocks,APA,APA CORP,163,-1140.37025725,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,BBY,BEST BUY CO INC,0,-979.43875725,0,77.500553,0,0
Month & Year to Date Performance Summary,Data,Stocks,BOH,BANK OF HAWAII CORP,649,429.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,BX,BLACKSTONE INC,255,150.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,C,CITIGROUP INC,398,283.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,CF,CF INDUSTRIES HOLDINGS INC,0,-580.0777,0,-2892.637007,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMA,COMERICA INC,14.62974275,14.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMRE,COSTAMARE INC,0,109.818725,0,-3248.843164,0,0
Month & Year to Date Performance Summary,Data,Stocks,CPG,CRESCENT POINT ENERGY CORP,0,267.7057285,0,-482.8458155,0,0
Month & Year to Date Performance Summary,Data,Stocks,CSCO,CISCO SYSTEMS INC,0,-290.42075725,0,399.871913,0,0
Month & Year to Date Performance Summary,Data,Stocks,CVE,CENOVUS ENERGY INC,282,-388.76,0,0,0,0
