Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 16, 2023"
Statement,Data,WhenGenerated,"2023-06-17, 10:04:07 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,18108.162634954,45248.856248142,0,45248.856248142,27140.693613188
Net Asset Value,Data,Stock,317148,276854,0,276854,-40294
Net Asset Value,Data,Options,-61551.99,4049.73,-52220.32,-48170.59,13381.4
Net Asset Value,Data,Interest Accruals,1.91,1.91,0,1.91,0
Net Asset Value,Data,Dividend Accruals,534.72,525.63,0,525.63,-9.09
Net Asset Value,Data,Total,274240.802634954,326680.126248142,-52220.32,274459.806248142,219.003613188
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.079858143%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,274240.802634954
Change in NAV,Data,Mark-to-Market,212.40000544
Change in NAV,Data,Dividends,25
Change in NAV,Data,Change in Dividend Accruals,-9.09
Change in NAV,Data,Commissions,-9.30639225
Change in NAV,Data,Ending Value,274459.806248142
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,NXPI,100,0,195.7500,197.8500,210,-5785,-0.1265,0,-5575.1265,
Mark-to-Market Performance Summary,Data,Stocks,PARA,200,200,16.5300,16.2800,-50,0,0,0,-50,
Mark-to-Market Performance Summary,Data,Stocks,PHM,100,100,73.9600,73.5100,-45,0,0,0,-45,CP
Mark-to-Market Performance Summary,Data,Stocks,QQQM,100,100,152.2900,151.3200,-97,0,0,0,-97,
Mark-to-Market Performance Summary,Data,Stocks,SCHW,100,100,55.5100,54.4000,-111,0,0,0,-111,
Mark-to-Market Performance Summary,Data,Stocks,STLD,200,200,105.9600,102.5300,-686,0,0,0,-686,
Mark-to-Market Performance Summary,Data,Stocks,STNG,100,100,45.4900,46.1000,61,0,0,0,61,CP
Mark-to-Market Performance Summary,Data,Stocks,STX,100,100,66.1400,64.3000,-184,0,0,0,-184,CP
Mark-to-Market Performance Summary,Data,Stocks,TD,100,100,60.9800,61.1600,18,0,0,0,18,CP
Mark-to-Market Performance Summary,Data,Stocks,TGT,100,100,137.8400,133.8100,-403,0,0,0,-403,CP
Mark-to-Market Performance Summary,Data,Stocks,TSM,100,0,105.1800,104.5700,-61,49,-0.46880525,0,-12.46880525,CP
Mark-to-Market Performance Summary,Data,Stocks,WWW,0,400,--,14.1400,0,-48,-1.881029,0,-49.881029,CP
Mark-to-Market Performance Summary,Data,Stocks,XLK,100,100,174.6300,173.1900,-144,0,0,0,-144,
Mark-to-Market Performance Summary,Data,Stocks,XLY,100,100,166.6300,166.3800,-25,0,0,0,-25,
Mark-to-Market Performance Summary,Data,Total,,,,,,-3113,-8779,-2.61113425,25,-11869.61113425,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 16JUN23 35 P,1,0,0.5660,0.6200,5.4,13,-0.70209,0,17.69791,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 28JUL23 31 C,-1,-1,4.3565,4.1006,25.59,0,0,0,25.59,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 28JUL23 35 P,0,1,--,2.2159,0,-10.41,-0.69905,0,-11.10905,
Mark-to-Market Performance Summary,Data,Equity and Index Options,BX 21JUL23 70 C,-1,-1,23.0584,21.6348,142.36,0,0,0,142.36,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,C 16JUN23 40 C,-1,0,8.5663,8.1900,37.63,819,0,0,856.63,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CMA 21JUL23 35 C,-1,-1,8.8317,8.3833,44.84,0,0,0,44.84,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CVE 16JUN23 15 P,1,0,0.0001,--,-0.01,0,0,0,-0.01,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CWH 15SEP23 26 C,-1,-1,4.1799,3.5312,64.87,0,0,0,64.87,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 16JUN23 130 P,1,0,0.0768,--,-7.68,0,0,0,-7.68,
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 28JUL23 123 C,-1,-1,14.1111,13.9749,13.62,0,0,0,13.62,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,EBAY 21JUL23 40 C,-1,-1,5.9373,5.3512,58.61,0,0,0,58.61,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,EQT 16JUN23 27 C,-1,0,11.9540,12.6400,-68.6,1264,0,0,1195.4,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,HAS 21JUL23 50 C,-1,-1,12.0958,11.7476,34.82,0,0,0,34.82,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 16JUN23 35 P,2,0,0.2500,--,28,38,-0.253908,0,65.746092,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 21JUL23 32.5 C,-2,-2,3.6598,3.0736,117.24,0,0,0,117.24,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 21JUL23 35 P,0,2,--,1.8237,0,-27.26,-0.2481,0,-27.5081,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HPQ 16JUN23 30 P,2,0,0.0200,--,-4,0,0,0,-4,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HPQ 18AUG23 27 C,-2,-2,4.5449,4.4483,19.32,0,0,0,19.32,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JWN 16JUN23 14.5 C,-2,0,4.8700,4.5600,62,912,0,0,974,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,M 21JUL23 14 C,-2,-2,2.2622,2.1271,27.02,0,0,0,27.02,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 205 C,-1,-1,143.7354,139.4004,433.5,0,0,0,433.5,
Mark-to-Market Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 245 C,-1,-1,104.0505,99.6948,435.57,0,0,0,435.57,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,NKE 30JUN23 100 C,-1,-1,13.3754,14.4216,-104.62,0,0,0,-104.62,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,NUE 21JUL23 130 C,-1,-1,22.1647,22.2348,-7.01,0,0,0,-7.01,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NUE 21JUL23 135 P,1,1,1.4200,1.1750,-24.5,0,0,0,-24.5,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NXPI 16JUN23 140 C,-1,0,55.7622,57.8500,-208.78,5785,0,0,5576.22,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 16JUN23 17.5 P,2,0,0.9837,1.2200,47.26,23,-0.665116,0,69.594884,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 28JUL23 14 C,-2,-2,2.8623,2.5817,56.12,0,0,0,56.12,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 28JUL23 17.5 P,0,2,--,1.6850,0,-23,-0.6581,0,-23.6581,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PHM 21JUL23 65 C,-1,-1,9.4174,9.0814,33.6,0,0,0,33.6,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,QQQM 21JUL23 125 C,-1,-1,28.4346,26.7858,164.88,0,0,0,164.88,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SCHW 21JUL23 47.5 C,-1,-1,8.6620,7.5944,106.76,0,0,0,106.76,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SCHW 21JUL23 57.5 P,1,1,3.4775,4.0349,55.74,0,0,0,55.74,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 16JUN23 100 P,1,0,0.0752,--,-7.52,0,0,0,-7.52,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 21JUL23 95 C,-2,-2,12.3630,9.4185,588.9,0,0,0,588.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 21JUL23 115 P,1,1,10.6039,13.3399,273.6,0,0,0,273.6,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STNG 21JUL23 44 C,-1,-1,3.4487,3.7477,-29.9,0,0,0,-29.9,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,STNG 21JUL23 50 P,1,1,5.3596,4.8078,-55.18,0,0,0,-55.18,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STX 21JUL23 55 C,-1,-1,11.2140,9.3704,184.36,0,0,0,184.36,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TD 21JUL23 50 C,-1,-1,11.1585,11.3540,-19.55,0,0,0,-19.55,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TGT 21JUL23 130 C,-1,-1,10.2906,7.1609,312.97,0,0,0,312.97,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TGT 21JUL23 140 P,1,1,5.5432,7.9064,236.32,0,0,0,236.32,
Mark-to-Market Performance Summary,Data,Equity and Index Options,TSM 07JUL23 90 C,-1,0,15.6792,15.0584,62.08,-43.16,-1.04905,0,17.87095,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,WWW 21JUL23 12.5 C,0,-4,--,1.9007,0,37.72,-2.419844,0,35.300156,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,XLK 21JUL23 139 C,-1,-1,36.0342,34.5475,148.67,0,0,0,148.67,
Mark-to-Market Performance Summary,Data,Equity and Index Options,XLY 21JUL23 150 C,-1,-1,17.5068,17.1847,32.21,0,0,0,32.21,
Mark-to-Market Performance Summary,Data,Total,,,,,,3316.51,8787.89,-6.695258,0,12097.704742,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.0042153,0.0042153,0.75636,0.75765,0.00000544,0,0,0,0.00000544,
Mark-to-Market Performance Summary,Data,Forex,USD,18108.15944667,45248.85305442,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0.00000544,0,0,0,0.00000544,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,203.51000544,8.89,-9.30639225,25,228.09361319,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,APA,0,0,0,0,0,0,0,-1093.370257,0,0,-1093.370257,-1093.370257,
Realized & Unrealized Performance Summary,Data,Stocks,BX,0,0,0,0,0,0,362.629743,0,0,0,362.629743,362.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,C,0,92.526225,0,0,0,92.526225,0,0,0,0,0,92.526225,CP
Realized & Unrealized Performance Summary,Data,Stocks,CMA,0,0,0,0,0,0,48.629743,0,0,0,48.629743,48.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,CWH,0,0,0,0,0,0,0,-102.370257,0,0,-102.370257,-102.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,DKS,0,0,0,0,0,0,0,-1413.370257,0,0,-1413.370257,-1413.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,EBAY,0,0,0,0,0,0,76.629743,0,0,0,76.629743,76.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,EQT,0,66.536769,0,0,0,66.536769,0,0,0,0,0,66.536769,CP
Realized & Unrealized Performance Summary,Data,Stocks,HAS,0,0,0,0,0,0,0,-370.370257,0,0,-370.370257,-370.370257,
Realized & Unrealized Performance Summary,Data,Stocks,HP,0,0,0,0,0,0,0,-2599.840514,0,0,-2599.840514,-2599.840514,
Realized & Unrealized Performance Summary,Data,Stocks,HPQ,0,0,0,0,0,0,0,0,0,-1715.840514,-1715.840514,-1715.840514,
Realized & Unrealized Performance Summary,Data,Stocks,JWN,0,91.698382,0,0,0,91.698382,0,0,0,0,0,91.698382,CP
Realized & Unrealized Performance Summary,Data,Stocks,M,0,0,0,0,0,0,10.159486,0,0,0,10.159486,10.159486,CP
Realized & Unrealized Performance Summary,Data,Stocks,MSFT,0,0,0,0,0,0,16765.259486,0,0,0,16765.259486,16765.259486,CP
Realized & Unrealized Performance Summary,Data,Stocks,NKE,0,0,0,0,0,0,447.629743,0,0,0,447.629743,447.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,NUE,0,0,0,0,0,0,0,0,5034.749743,0,5034.749743,5034.749743,
Realized & Unrealized Performance Summary,Data,Stocks,NXPI,0,326.821113,0,0,0,326.821113,0,0,0,0,0,326.821113,
Realized & Unrealized Performance Summary,Data,Stocks,PARA,0,0,0,0,0,0,0,0,0,-3520.840514,-3520.840514,-3520.840514,
Realized & Unrealized Performance Summary,Data,Stocks,PHM,0,0,0,0,0,0,148.629743,0,0,0,148.629743,148.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,QQQM,0,0,0,0,0,0,0,0,0,-1168.060257,-1168.060257,-1168.060257,
Realized & Unrealized Performance Summary,Data,Stocks,SCHW,0,0,0,0,0,0,0,-2797.370257,0,0,-2797.370257,-2797.370257,
Realized & Unrealized Performance Summary,Data,Stocks,STLD,0,0,0,0,0,0,0,-5356.740514,0,0,-5356.740514,-5356.740514,
Realized & Unrealized Performance Summary,Data,Stocks,STNG,0,0,0,0,0,0,0,-1651.370257,0,0,-1651.370257,-1651.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,STX,0,0,0,0,0,0,374.629743,0,0,0,374.629743,374.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,TD,0,0,0,0,0,0,40.629743,0,0,0,40.629743,40.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,TGT,0,0,0,0,0,0,0,-2979.370257,0,0,-2979.370257,-2979.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,TSM,0,639.16093775,0,0,0,639.16093775,0,0,0,0,0,639.16093775,CP
Realized & Unrealized Performance Summary,Data,Stocks,WWW,0,0,0,0,0,0,0,-49.881029,0,0,-49.881029,-49.881029,CP
Realized & Unrealized Performance Summary,Data,Stocks,XLK,0,0,0,0,0,0,0,0,448.829743,0,448.829743,448.829743,
Realized & Unrealized Performance Summary,Data,Stocks,XLY,0,0,0,0,0,0,0,0,0,-3122.170257,-3122.170257,-3122.170257,
Realized & Unrealized Performance Summary,Data,Total,,0,1216.74342675,0,0,0,1216.74342675,18274.827173,-18414.053856,5483.579486,-9526.911542,-4182.558739,-2965.81531225,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 16JUN23 35 P,0,0,-271.40114,0,0,-271.40114,0,0,0,0,0,-271.40114,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 28JUL23 31 C,0,0,0,0,0,0,26.235014,0,0,0,26.235014,26.235014,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 28JUL23 35 P,0,0,0,0,0,0,0,-11.10905,0,0,-11.10905,-11.10905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BX 21JUL23 70 C,0,0,0,0,0,0,0,-283.546538,0,0,-283.546538,-283.546538,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CMA 21JUL23 35 C,0,0,0,0,0,0,0,-85.387522,0,0,-85.387522,-85.387522,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CVE 16JUN23 15 P,0,0,-137.24905,0,0,-137.24905,0,0,0,0,0,-137.24905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CWH 15SEP23 26 C,0,0,0,0,0,0,35.82539,0,0,0,35.82539,35.82539,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 16JUN23 130 P,0,0,-850.29905,0,0,-850.29905,0,0,0,0,0,-850.29905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 28JUL23 123 C,0,0,0,0,0,0,0,-84.152002,0,0,-84.152002,-84.152002,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,EBAY 21JUL23 40 C,0,0,0,0,0,0,0,-47.175402,0,0,-47.175402,-47.175402,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HAS 21JUL23 50 C,0,0,0,0,0,0,0,-372.417914,0,0,-372.417914,-372.417914,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 16JUN23 35 P,0,0,-486.252008,0,0,-486.252008,0,0,0,0,0,-486.252008,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 21JUL23 32.5 C,0,0,0,0,0,0,28.371876,0,0,0,28.371876,28.371876,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 21JUL23 35 P,0,0,0,0,0,0,0,-27.5081,0,0,-27.5081,-27.5081,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HPQ 16JUN23 30 P,0,0,-218.6581,0,0,-218.6581,0,0,0,0,0,-218.6581,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HPQ 18AUG23 27 C,0,0,0,0,0,0,0,-166.328772,0,0,-166.328772,-166.328772,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,M 21JUL23 14 C,0,0,0,0,0,0,0,-9.828816,0,0,-9.828816,-9.828816,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 205 C,0,0,0,0,0,0,0,-7647.8856,0,0,-7647.8856,-7647.8856,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 245 C,0,0,0,0,0,0,0,-5797.564874,0,0,-5797.564874,-5797.564874,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NKE 30JUN23 100 C,0,0,0,0,0,0,0,-311.220546,0,0,-311.220546,-311.220546,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NUE 21JUL23 130 C,0,0,0,0,0,0,0,-1463.187578,0,0,-1463.187578,-1463.187578,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NUE 21JUL23 135 P,0,0,0,0,0,0,0,-871.19905,0,0,-871.19905,-871.19905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 16JUN23 17.5 P,0,0,-164.323216,0,0,-164.323216,0,0,0,0,0,-164.323216,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 28JUL23 14 C,0,0,0,0,0,0,85.992196,0,0,0,85.992196,85.992196,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 28JUL23 17.5 P,0,0,0,0,0,0,0,-23.6581,0,0,-23.6581,-23.6581,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PHM 21JUL23 65 C,0,0,0,0,0,0,0,-138.197658,0,0,-138.197658,-138.197658,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,QQQM 21JUL23 125 C,0,0,0,0,0,0,0,-133.651858,0,0,-133.651858,-133.651858,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SCHW 21JUL23 47.5 C,0,0,0,0,0,0,32.852166,0,0,0,32.852166,32.852166,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SCHW 21JUL23 57.5 P,0,0,0,0,0,0,8.79095,0,0,0,8.79095,8.79095,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 16JUN23 100 P,0,0,-591.64905,0,0,-591.64905,0,0,0,0,0,-591.64905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 21JUL23 95 C,0,0,0,0,0,0,419.97858,0,0,0,419.97858,419.97858,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 21JUL23 115 P,0,0,0,0,0,0,200.34095,0,0,0,200.34095,200.34095,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STNG 21JUL23 44 C,0,0,0,0,0,0,0,-96.423722,0,0,-96.423722,-96.423722,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STNG 21JUL23 50 P,0,0,0,0,0,0,0,-49.46905,0,0,-49.46905,-49.46905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STX 21JUL23 55 C,0,0,0,0,0,0,0,-315.096474,0,0,-315.096474,-315.096474,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TD 21JUL23 50 C,0,0,0,0,0,0,29.539182,0,0,0,29.539182,29.539182,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TGT 21JUL23 130 C,0,0,0,0,0,0,0,-164.795906,0,0,-164.795906,-164.795906,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TGT 21JUL23 140 P,0,0,0,0,0,0,139.60095,0,0,0,139.60095,139.60095,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TSM 07JUL23 90 C,0,0,-566.10842,0,0,-566.10842,0,0,0,0,0,-566.10842,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,WWW 21JUL23 12.5 C,0,0,0,0,0,0,35.300156,0,0,0,35.300156,35.300156,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,XLK 21JUL23 139 C,0,0,0,0,0,0,0,-657.473874,0,0,-657.473874,-657.473874,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,XLY 21JUL23 150 C,0,0,0,0,0,0,0,-56.184794,0,0,-56.184794,-56.184794,
Realized & Unrealized Performance Summary,Data,Total,,0,0,-3285.940034,0,0,-3285.940034,1042.82741,-18813.4632,0,0,-17770.63579,-21056.575824,
Realized & Unrealized Performance Summary,Data,Forex,CAD,0,0,0,0,0,0,0.000061,0,0,0,0.000061,0.000061,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,0.000061,0,0,0,0.000061,0.000061,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,1216.74342675,-3285.940034,0,0,-2069.19660725,19317.654644,-37227.517056,5483.579486,-9526.911542,-21953.194468,-24022.39107525,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,ACI,ALBERTSONS COS INC - CLASS A,0,1244.1984935,0,-3075.7420205,0,0
Month & Year to Date Performance Summary,Data,Stocks,AEM,AGNICO EAGLE MINES LTD,0,-1199.1061,0,71.463001,0,0
Month & Year to Date Performance Summary,Data,Stocks,ALL,ALLSTATE CORP,0,-975.30075,0,0,0,-391.122176
Month & Year to Date Performance Summary,Data,Stocks,APA,APA CORP,260,-1043.37025725,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,BBY,BEST BUY CO INC,0,-979.43875725,0,77.500553,0,0
Month & Year to Date Performance Summary,Data,Stocks,BOH,BANK OF HAWAII CORP,737.47857875,518.1083215,448.10832175,448.10832175,0,0
Month & Year to Date Performance Summary,Data,Stocks,BX,BLACKSTONE INC,549,444.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,C,CITIGROUP INC,-432.0465,-546.41675725,92.526225,92.526225,0,0
Month & Year to Date Performance Summary,Data,Stocks,CF,CF INDUSTRIES HOLDINGS INC,0,-580.0777,0,-2892.637007,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMA,COMERICA INC,48.62974275,48.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMRE,COSTAMARE INC,0,109.818725,0,-3248.843164,0,0
Month & Year to Date Performance Summary,Data,Stocks,CPG,CRESCENT POINT ENERGY CORP,0,267.7057285,0,-482.8458155,0,0
Month & Year to Date Performance Summary,Data,Stocks,CSCO,CISCO SYSTEMS INC,0,-290.42075725,0,399.871913,0,0
