Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 21, 2023"
Statement,Data,WhenGenerated,"2023-07-22, 06:27:52 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,19032.472736799,50542.133452072,0,50542.133452072,31509.660715273
Net Asset Value,Data,Stock,306150,261036,0,261036,-45114
Net Asset Value,Data,Options,-48564.76,2016.61,-36878.05,-34861.44,13703.32
Net Asset Value,Data,Interest Accruals,2.45,2.45,0,2.45,0
Net Asset Value,Data,Dividend Accruals,830,830,0,830,0
Net Asset Value,Data,Total,277450.162736799,314427.193452072,-36878.05,277549.143452072,98.980715273
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.035675133%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,277450.162736799
Change in NAV,Data,Mark-to-Market,105.31998752
Change in NAV,Data,Commissions,-6.33927225
Change in NAV,Data,Ending Value,277549.143452072
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,HPQ,0,0,0,0,0,0,0,0,0,-1467.840514,-1467.840514,-1467.840514,
Realized & Unrealized Performance Summary,Data,Stocks,MS,0,0,0,0,0,0,0,-35.370257,0,0,-35.370257,-35.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,MSFT,0,0,-1285.394357,0,0,-1285.394357,0,0,0,0,0,-1285.394357,
Realized & Unrealized Performance Summary,Data,Stocks,NOG,0,0,0,0,0,0,1154.689229,0,0,0,1154.689229,1154.689229,CP
Realized & Unrealized Performance Summary,Data,Stocks,NTAP,0,0,0,0,0,0,630.629743,0,0,0,630.629743,630.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,NUE,0,0,0,0,0,0,0,0,6276.749743,0,6276.749743,6276.749743,
Realized & Unrealized Performance Summary,Data,Stocks,PARA,0,0,0,0,0,0,0,0,0,-3672.840514,-3672.840514,-3672.840514,
Realized & Unrealized Performance Summary,Data,Stocks,QQQM,0,0,0,0,0,0,0,0,0,-846.060257,-846.060257,-846.060257,
Realized & Unrealized Performance Summary,Data,Stocks,SCHW,0,0,0,0,0,0,0,-1589.370257,0,0,-1589.370257,-1589.370257,
Realized & Unrealized Performance Summary,Data,Stocks,SKT,0,0,0,0,0,0,0,-70.110772,0,0,-70.110772,-70.110772,CP
Realized & Unrealized Performance Summary,Data,Stocks,SM,0,0,0,0,0,0,129.159486,0,0,0,129.159486,129.159486,CP
Realized & Unrealized Performance Summary,Data,Stocks,STLD,0,0,0,0,0,0,0,-5802.740514,0,0,-5802.740514,-5802.740514,
Realized & Unrealized Performance Summary,Data,Stocks,STNG,0,0,-1791.673807,0,0,-1791.673807,0,0,0,0,0,-1791.673807,CP
Realized & Unrealized Performance Summary,Data,Stocks,TGT,0,0,-3011.535807,0,0,-3011.535807,0,0,0,0,0,-3011.535807,CP
Realized & Unrealized Performance Summary,Data,Stocks,WWW,0,0,0,0,0,0,0,-805.881029,0,0,-805.881029,-805.881029,CP
Realized & Unrealized Performance Summary,Data,Stocks,XLK,0,0,0,0,0,0,0,0,742.829743,0,742.829743,742.829743,
Realized & Unrealized Performance Summary,Data,Stocks,XLY,0,0,0,0,0,0,0,0,0,-2662.170257,-2662.170257,-2662.170257,
Realized & Unrealized Performance Summary,Data,Total,,0,0,-7474.47252825,0,0,-7474.47252825,4781.224603,-11957.045656,7019.579486,-8648.911542,-8805.153109,-16279.62563725,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,ABBV 18AUG23 125 C,0,0,0,0,0,0,0,-658.51181,0,0,-658.51181,-658.51181,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 28JUL23 35 P,0,0,0,0,0,0,0,-227.84905,0,0,-227.84905,-227.84905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 25AUG23 31 C,0,0,-358.104012,0,0,-358.104012,0,0,0,0,0,-358.104012,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 25AUG23 34 C,0,0,0,0,0,0,0,-190.634162,0,0,-190.634162,-190.634162,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,APA 20OCT23 32.5 C,0,0,0,0,0,0,0,-39.537082,0,0,-39.537082,-39.537082,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BMY 15SEP23 60 C,0,0,0,0,0,0,49.63363,0,0,0,49.63363,49.63363,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CFG 20OCT23 25 C,0,0,0,0,0,0,0,-70.121994,0,0,-70.121994,-70.121994,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CMCSA 18AUG23 37.5 C,0,0,0,0,0,0,0,-380.19148,0,0,-380.19148,-380.19148,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CWH 15SEP23 26 C,0,0,0,0,0,0,0,-202.06461,0,0,-202.06461,-202.06461,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DAL 18AUG23 42 C,0,0,0,0,0,0,0,-411.24009,0,0,-411.24009,-411.24009,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DELL 25AUG23 50 C,0,0,0,0,0,0,111.844286,0,0,0,111.844286,111.844286,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 28JUL23 130 P,0,0,0,0,0,0,0,-255.29905,0,0,-255.29905,-255.29905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,DKS 25AUG23 125 C,0,0,0,0,0,0,146.65887,0,0,0,146.65887,146.65887,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,F 18AUG23 13 C,0,0,0,0,0,0,98.83967,0,0,0,98.83967,98.83967,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,FL 18AUG23 22.5 C,0,0,0,0,0,0,173.693238,0,0,0,173.693238,173.693238,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HASI 18AUG23 22.5 C,0,0,0,0,0,0,0,-497.20733,0,0,-497.20733,-497.20733,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 21JUL23 35 P,0,0,-392.2481,0,0,-392.2481,0,0,0,0,0,-392.2481,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HP 18AUG23 35 C,0,0,0,0,0,0,0,-588.668348,0,0,-588.668348,-588.668348,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,HPQ 18AUG23 27 C,0,0,0,0,0,0,0,-353.668772,0,0,-353.668772,-353.668772,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,MS 15SEP23 87.5 C,0,0,0,0,0,0,28.05243,0,0,0,28.05243,28.05243,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NOG 15SEP23 28 C,0,0,0,0,0,0,0,-1048.040138,0,0,-1048.040138,-1048.040138,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NTAP 18AUG23 67.5 C,0,0,0,0,0,0,0,-600.04661,0,0,-600.04661,-600.04661,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NUE 21JUL23 135 P,0,0,-988.69905,0,0,-988.69905,0,0,0,0,0,-988.69905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NUE 19JAN24 135 C,0,0,0,0,0,0,616.13527,0,0,0,616.13527,616.13527,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 28JUL23 16 C,0,0,0,0,0,0,110.595804,0,0,0,110.595804,110.595804,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,PARA 28JUL23 17.5 P,0,0,0,0,0,0,40.3819,0,0,0,40.3819,40.3819,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,QQQM 15DEC23 130 C,0,0,0,0,0,0,0,-211.182658,0,0,-211.182658,-211.182658,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SCHW 21JUL23 60 P,0,0,-445.69905,0,0,-445.69905,0,0,0,0,0,-445.69905,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SCHW 15SEP23 60 C,0,0,0,0,0,0,0.202534,0,0,0,0.202534,0.202534,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SKT 15SEP23 22 C,0,0,0,0,0,0,59.180442,0,0,0,59.180442,59.180442,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SM 18AUG23 30 C,0,0,0,0,0,0,0,-98.792528,0,0,-98.792528,-98.792528,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 18AUG23 95 C,0,0,0,0,0,0,1057.48423,0,0,0,1057.48423,1057.48423,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 18AUG23 100 C,0,0,0,0,0,0,609.120374,0,0,0,609.120374,609.120374,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STLD 18AUG23 115 P,0,0,0,0,0,0,630.07095,0,0,0,630.07095,630.07095,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,STNG 21JUL23 47 C,0,177.347086,0,0,0,177.347086,0,0,0,0,0,177.347086,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TGT 21JUL23 135 C,0,328.295878,0,0,0,328.295878,0,0,0,0,0,328.295878,CP
Realized & Unrealized Performance Summary,Data,Equity and Index Options,WWW 21JUL23 12.5 C,0,795.580156,0,0,0,795.580156,0,0,0,0,0,795.580156,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,XLK 19JAN24 144 C,0,0,0,0,0,0,0,-201.449538,0,0,-201.449538,-201.449538,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,XLY 15DEC23 155 C,0,0,0,0,0,0,141.169846,0,0,0,141.169846,141.169846,
Realized & Unrealized Performance Summary,Data,Total,,0,1301.22312,-2184.750212,0,0,-883.527092,3873.063474,-6034.50525,0,0,-2161.441776,-3044.968868,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,1301.22312,-9659.22274025,0,0,-8357.99962025,8654.288132,-17991.550906,7019.579486,-8648.911542,-10966.59483,-19324.59445025,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,ABBV,ABBVIE INC,632.62974275,632.62974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,ACI,ALBERTSONS COS INC - CLASS A,0,1244.1984935,0,-3075.7420205,0,0
Month & Year to Date Performance Summary,Data,Stocks,AEM,AGNICO EAGLE MINES LTD,0,-1199.1061,0,71.463001,0,0
Month & Year to Date Performance Summary,Data,Stocks,ALL,ALLSTATE CORP,0,-975.30075,0,0,0,-391.122176
Month & Year to Date Performance Summary,Data,Stocks,APA,APA CORP,873.84385625,-190.526401,-672.78588625,-672.78588625,0,0
Month & Year to Date Performance Summary,Data,Stocks,BBY,BEST BUY CO INC,0,-979.43875725,0,77.500553,0,0
Month & Year to Date Performance Summary,Data,Stocks,BMY,BRISTOL-MYERS SQUIBB CO,73,-55.37025725,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,BOH,BANK OF HAWAII CORP,0,518.1083215,0,448.10832175,0,0
Month & Year to Date Performance Summary,Data,Stocks,BX,BLACKSTONE INC,205.43921875,834.0689615,752.06896175,752.06896175,0,0
Month & Year to Date Performance Summary,Data,Stocks,C,CITIGROUP INC,0,-546.41675725,0,92.526225,0,0
Month & Year to Date Performance Summary,Data,Stocks,CF,CF INDUSTRIES HOLDINGS INC,0,-580.0777,0,-2892.637007,0,0
Month & Year to Date Performance Summary,Data,Stocks,CFG,CITIZENS FINANCIAL GROUP,58.68922825,58.68922825,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMA,COMERICA INC,640.47679475,683.1065375,612.10653775,612.10653775,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMCSA,COMCAST CORP-CLASS A,268,435.1594855,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,CMRE,COSTAMARE INC,0,109.818725,0,-3248.843164,0,0
Month & Year to Date Performance Summary,Data,Stocks,COP,CONOCOPHILLIPS,155.43158675,306.0613295,246.06132975,246.06132975,0,0
Month & Year to Date Performance Summary,Data,Stocks,CPG,CRESCENT POINT ENERGY CORP,0,267.7057285,0,-482.8458155,0,0
Month & Year to Date Performance Summary,Data,Stocks,CSCO,CISCO SYSTEMS INC,0,-290.42075725,0,399.871913,0,0
Month & Year to Date Performance Summary,Data,Stocks,CVE,CENOVUS ENERGY INC,0,-866.813,0,-78.251926,0,0
Month & Year to Date Performance Summary,Data,Stocks,CWH,CAMPING WORLD HOLDINGS INC-A,126,289.12974275,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,DAL,DELTA AIR LINES INC.,303,526.68922825,0,0,0,0
